iter	Logloss
0	0.6833781433
1	0.6735719299
2	0.6587181091
3	0.6465901184
4	0.6359230804
5	0.6274681091
6	0.618480072
7	0.6142221069
8	0.6014483643
9	0.5857253265
10	0.575994873
11	0.5622090149
12	0.5540014648
13	0.5451295471
14	0.5344651413
15	0.5263547516
16	0.5140541077
17	0.5071855927
18	0.4979624939
19	0.4883187485
20	0.4827253723
21	0.4775969696
22	0.4658103561
23	0.4597064209
24	0.4528673553
25	0.4499805832
26	0.4444549179
27	0.4400496674
28	0.4308630371
29	0.4260966873
30	0.4207020187
31	0.4102831268
32	0.4052396011
33	0.3979004669
34	0.3939981079
35	0.3866611099
36	0.3832924652
37	0.37913311
38	0.376515274
39	0.3729495239
40	0.3677216721
41	0.3647502136
42	0.3598435211
43	0.3554575729
44	0.3522559357
45	0.3496228027
46	0.3436130524
47	0.3401279068
48	0.3372737122
49	0.3313354492
